name,id,key,potid,potkey,units,atom_style,allsymbols,pair_style,status,symbols,elements
MO_758825945924,Morse_Shifted_GirifalcoWeizer_1959MedCutoff_Ni__MO_758825945924_004,084b777e-dd28-4413-a1f6-75fff5693414,1959--Girifalco-L-A-Weizer-V-G--Ni,b5951518-9b95-49aa-8827-41a01aef956a,metal,atomic,False,kim,active,['Ni'],['Ni']
MO_759493141826,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_Cu__MO_759493141826_000,9bac33d7-bca5-4498-84db-c9ab8e2e445e,2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Cu,2b5389d5-0313-43be-a7c7-ce9130ba51b8,metal,atomic,False,kim,active,['Cu'],['Cu']
MO_762798677854,EAM_Dynamo_AcklandTichyVitek_1987v2_Cu__MO_762798677854_000,6a441b88-aa30-482d-8fcf-f73d661de9aa,1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Cu,41ea33df-5737-4c25-b94c-a708f063f26f,metal,atomic,False,kim,active,['Cu'],['Cu']
MO_763197941039,EAM_Dynamo_BonnyCastinTerentyev_2013_FeNiCr__MO_763197941039_000,a8b7aca7-3f1b-41cf-af36-3bfdc6d058c2,2013--Bonny-G-Castin-N-Terentyev-D--Fe-Ni-Cr,e30ac130-16af-4ca8-8685-eacbd145578d,metal,atomic,False,kim,active,"['Fe', 'Ni', 'Cr']","['Fe', 'Ni', 'Cr']"
MO_764178710049,LJ_Smoothed_Bernardes_1958_Ar__MO_764178710049_001,fdc059e7-0b74-4bf1-8c0e-9b5967d37b2a,1958--Bernardes-N--Ar,24c37060-bdcd-47a9-ba96-33efe0691930,metal,atomic,False,kim,active,['Ar'],['Ar']
MO_766484508139,SNAP_ZuoChenLi_2019quadratic_Ge__MO_766484508139_000,b706ea55-6ac3-4e22-aba2-350e7824e24e,2020--Zuo-Y-Chen-C-Li-X-et-al--Ge-qSNAP,b213aae2-e982-46ce-8899-20e59e709e83,metal,atomic,False,kim,active,['Ge'],['Ge']
MO_769582363439,EAM_Dynamo_MendelevHanSrolovitz_2003Potential2_Fe__MO_769582363439_005,04050444-d406-4fb7-b1d7-dc01c4c15a6e,2003--Mendelev-M-I-Han-S-Srolovitz-D-J-et-al--Fe-2,06bf7ccd-ea6a-4744-bfbc-adefa5bcdd60,metal,atomic,False,kim,active,['Fe'],['Fe']
MO_769632475533,EAM_Dynamo_AcklandTichyVitek_1987v2_Ni__MO_769632475533_000,cee4bdfa-4bad-45e1-b063-790cc97035e8,1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Ni,6fbc40e6-1388-4988-87d5-88805b1b3690,metal,atomic,False,kim,active,['Ni'],['Ni']
MO_771146361182,MEAM_LAMMPS_OhSeolLee_2020_CoV__MO_771146361182_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_781138671863,EAM_QuinticHermiteSpline_ErcolessiAdams_1994_Al__MO_781138671863_002,f664d923-6ff4-48de-83e6-8c1dd16e4325,1994--Ercolessi-F-B-Adams-J--Al,2ce1cf6d-9c87-4b29-89d2-9885a928fbe7,metal,atomic,False,kim,active,['Al'],['Al']
MO_786012902615,EAM_Dynamo_FoilesBaskesDaw_1986Universal3_Pd__MO_786012902615_000,da23e153-24a7-4e47-b7c7-811c884bd5b6,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Pd,16dde7ea-c8cf-4a23-95b3-494a2b252e9b,metal,atomic,False,kim,active,['Pd'],['Pd']
MO_786496821446,SW_WangStroudMarkworth_1989_CdTe__MO_786496821446_000,1b5a2fe9-16d5-4d09-b992-334e81cf1a49,1989--Wang-Z-Q-Stroud-D-Markworth-A-J--Cd-Te,d0d348ef-47e3-4d59-a066-bec02d0525f7,metal,atomic,False,kim,active,"['Cd', 'Te']","['Cd', 'Te']"
MO_791486224463,TIDP_RajanWarnerCurtin_2016D_User01__MO_791486224463_001,d9cd4a58-cf2a-4312-b7ec-162647545f8e,2016--Rajan-V-P-Warner-D-H-Curtin-W-A--fictional-toy-d,15ec9308-b6bf-427d-9519-117290c3d7fb,metal,atomic,False,kim,active,['toy'],['toy']
MO_793141037706,MEAM_LAMMPS_KimSeolJi_2017_PtAl__MO_793141037706_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_796748253903,LJ_Shifted_Bernardes_1958HighCutoff_Xe__MO_796748253903_004,16aeac69-4c80-4f9a-aedc-dd577ed9ac3a,1958--Bernardes-N--Xe,d6b56970-f7f5-428a-8830-499e8d0e2715,metal,atomic,False,kim,active,['Xe'],['Xe']
MO_799020228312,Tersoff_LAMMPS_AlbeNordlundNord_2002_GaAs__MO_799020228312_003,9504cc5e-e62b-48d8-b1b7-a85a6184885e,2002--Albe-K-Nordlund-K-Nord-J-Kuronen-A--Ga-As,63846fe7-c4b9-4357-86a2-185a431810ad,metal,atomic,False,kim,active,"['Ga', 'As']","['Ga', 'As']"
MO_800412945727,SW_ZhangXieHu_2014OptimizedSW1_Si__MO_800412945727_004,6f411fc3-4d29-4242-af19-d097be06282e,2014--Zhang-X-Xie-H-Hu-M-et-al--Si-1,6addefc5-9970-4339-a5f4-722e20d4c147,metal,atomic,False,kim,active,['Si'],['Si']
MO_800509458712,EAM_CubicNaturalSpline_ErcolessiAdams_1994_Al__MO_800509458712_002,9b7dcbed-b722-4165-9a5a-47c9818d6e96,1994--Ercolessi-F-B-Adams-J--Al,2ce1cf6d-9c87-4b29-89d2-9885a928fbe7,metal,atomic,False,kim,active,['Al'],['Al']
MO_800536961967,EAM_CubicNaturalSpline_AngeloMoodyBaskes_1995_Ni__MO_800536961967_003,7e762c90-5ab0-4d49-a435-29b48218fbe3,1995--Angelo-J-E-Moody-N-R-Baskes-M-I--Ni,0c463dfe-3bf7-47be-9d13-041cc425ec10,metal,atomic,False,kim,active,['Ni'],['Ni']
MO_801083489225,Morse_Shifted_GirifalcoWeizer_1959LowCutoff_Sr__MO_801083489225_004,86ce5d1d-e753-4b66-91cc-1414730afbfc,1959--Girifalco-L-A-Weizer-V-G--Sr,bcff1447-1cee-4672-a6b1-b61d299cb69a,metal,atomic,False,kim,active,['Sr'],['Sr']
MO_807997826449,EAM_Dynamo_MendelevHanSrolovitz_2003_Fe__MO_807997826449_000,6514bb54-8d2e-49e2-8d0f-0b5275ecf0b6,2003--Mendelev-M-I-Han-S-Srolovitz-D-J-et-al--Fe-2,06bf7ccd-ea6a-4744-bfbc-adefa5bcdd60,metal,atomic,False,kim,active,['Fe'],['Fe']
MO_808662295149,MEAM_LAMMPS_ChoiKimSeol_2017_CoMn__MO_808662295149_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_813575892799,MEAM_LAMMPS_KangSaLee_2009_ZrAgCu__MO_813575892799_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_815057898706,MEAM_LAMMPS_DoShinLee_2009_GaInN__MO_815057898706_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_816821594689,EAM_Dynamo_RaveloGermannGuerrero_2013Ta1_Ta__MO_816821594689_000,4ce832ec-c01b-40af-9153-98e0023955e2,2013--Ravelo-R-Germann-T-C-Guerrero-O-et-al--Ta-1,90f90347-9851-4950-9776-f32583162b20,metal,atomic,False,kim,active,['Ta'],['Ta']
MO_826591359508,EAM_Dynamo_PunYamakovMishin_2013_NiAlCo__MO_826591359508_000,fd507ce9-4e56-421a-94db-a003bbebe9d3,2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Ni-Al-Co,0f6e3cef-c588-4dcb-a0a6-66878f64ac50,metal,atomic,False,kim,active,"['Ni', 'Al', 'Co']","['Ni', 'Al', 'Co']"
