name,key,id,sourcename,sourcelink,crystalfamily,natypes,symbols,composition,a,b,c,alpha,beta,gamma,natoms
mp-2103,f992af84-22ad-4a25-9aba-05c251153402,mp-2103,Materials Project,https://materialsproject.org/,cubic,2.0,"['Au', 'Cu']",Au3Cu,4.05328596,4.05328596,4.05328596,90.0,90.0,90.0,4.0
mp-21256,3916a907-2592-46c8-a94d-17389607ff20,mp-21256,Materials Project,https://materialsproject.org/,orthorhombic,2.0,"['C', 'Mn']",C3Mn7,4.46038,6.811325,11.701017999999998,90.0,90.0,90.0,40.0
mp-21377,68f4f21f-49d8-412e-91ab-853570da454e,mp-21377,Materials Project,https://materialsproject.org/,cubic,1.0,['Sm'],Sm,5.1556966937548,5.1556966937548,5.1556966937548,90.0,90.0,90.0,4.0
mp-2151,d9e6a0da-049a-43dd-9f0c-60cb64619f5f,mp-2151,Materials Project,https://materialsproject.org/,cubic,2.0,"['Al', 'Mg']",Al12Mg17,10.536112243223,10.536112243223,10.536112243223,90.0,90.0,90.0,58.0
mp-21612,076b54bb-0e03-49a9-a4bd-7ee190129d72,mp-21612,Materials Project,https://materialsproject.org/,cubic,3.0,"['Cu', 'Mg', 'Si']",Cu16Mg6Si7,11.670622637586,11.670622637586,11.670622637586,90.0,90.0,90.0,116.0
mp-21717,66da79e8-0b20-41f1-9ccf-450add35e0d9,mp-21717,Materials Project,https://materialsproject.org/,orthorhombic,2.0,"['C', 'Fe']",C3Fe7,4.52358621,6.86299747,11.73837072,90.0,90.0,90.0,40.0
mp-2176,690b6c20-0093-478f-88a8-d6a193e644aa,mp-2176,Materials Project,https://materialsproject.org/,cubic,2.0,"['Te', 'Zn']",TeZn,6.1848264175772,6.1848264175772,6.1848264175772,90.0,90.0,90.0,8.0
mp-21848,45f36e52-acfa-47e1-821d-c155435e23a9,mp-21848,Materials Project,https://materialsproject.org/,cubic,1.0,['F'],F,4.46210005,4.46210005,4.46210005,90.0,90.0,90.0,8.0
mp-2199,0d0162e4-d11c-4466-aba1-203d7c9bb07a,mp-2199,Materials Project,https://materialsproject.org/,cubic,2.0,"['Fe', 'Si']",Fe3Si,5.6083589928434,5.6083589928434,5.6083589928434,90.0,90.0,90.0,16.0
mp-22046,4d4f8e44-439d-4830-b974-5440b7b6ccb4,mp-22046,Materials Project,https://materialsproject.org/,tetragonal,1.0,['B'],B,8.86624987,8.86624987,4.92557177,90.0,90.0,90.0,50.0
mp-2210,8ed7467a-eb70-43fd-80de-277b787848ac,mp-2210,Materials Project,https://materialsproject.org/,cubic,2.0,"['Cu', 'Zr']",CuZr,3.27333296,3.27333296,3.27333296,90.0,90.0,90.0,2.0
mp-2213,ccf5af3f-ce4f-4d25-9144-af58e8689669,mp-2213,Materials Project,https://materialsproject.org/,tetragonal,2.0,"['Fe', 'Ni']",FeNi,2.5066109987317,2.5066109987317,3.58131618,90.0,90.0,90.0,2.0
mp-22205,6a60a072-639e-4e0a-952e-e9a3b2485327,mp-22205,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['In', 'N']",InN,3.58388212,3.58388212,5.790932,90.0,90.0,119.99999999999999,4.0
mp-22387,d72dadb3-23d6-43b0-ab74-27ad75f4ebf5,mp-22387,Materials Project,https://materialsproject.org/,cubic,2.0,"['N', 'U']",N3U2,10.663367961113,10.663367961113,10.663367961113,90.0,90.0,90.0,80.0
mp-2250,d1d7dcb6-6e97-41a3-9ec6-25add1d71deb,mp-2250,Materials Project,https://materialsproject.org/,cubic,2.0,"['Ni', 'Zr']",Ni2Zr,6.9682875624052,6.9682875624052,6.9682875624052,90.0,90.0,90.0,24.0
mp-2254,772c25b6-3f83-424a-9f9c-5727a8d01911,mp-2254,Materials Project,https://materialsproject.org/,orthorhombic,2.0,"['Al', 'O']",Al2O3,4.8864312,8.39683838,9.02480008,90.0,90.0,90.0,40.0
mp-2258,6e246141-6ab9-4d33-bdcf-845d01341026,mp-2258,Materials Project,https://materialsproject.org/,cubic,2.0,"['Au', 'Cu']",AuCu3,3.77391452,3.77391452,3.77391452,90.0,90.0,90.0,4.0
mp-22692,82a69f04-572d-4d94-8b8d-6ea04e509798,mp-22692,Materials Project,https://materialsproject.org/,cubic,1.0,['Pb'],Pb,4.0044185752185,4.0044185752185,4.0044185752185,90.0,90.0,90.0,2.0
mp-22787,69361679-b76a-4037-8525-ed68c7163c1d,mp-22787,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['Fe', 'Si']",Fe2Si,3.92942628,3.9294262800000137,4.83967724,90.0,90.0,119.99999999999989,6.0
